,Ejected,M1,M2,Name1,Name2,NameCM,P,Semi,Simulation,Type1,Type2,TypeCM,X,Y,Z,e
1693,True,24.631074899999998,18.0855064,4745.0,4746.0,16639.0,49.660346999999994,0.924297631,M7447,14.0,14.0,0.0,44.3267479,20.997495699999998,8.17231464,0.0463110805
1665,True,45.3968048,34.6911697,4741.0,4742.0,16635.0,3157.1875,18.154985399999997,M7447,14.0,14.0,0.0,-35.9380074,-0.698184192,32.5522957,0.00958574656
0,False,59.4075394,48.4215431,4743.0,4735.0,12244.0,7796.47998,36.625553100000005,M7447,14.0,14.0,-1.0,0.302454531,0.022337993599999998,-0.142916232,0.189877629
1721,True,8.34139061,18.029707000000002,4513.0,4514.0,15884.0,119301.68800000001,141.171478,M7459,14.0,14.0,0.0,25.604419699999998,22.622495699999998,-6.83807516,0.945639193
565,False,79.48297120000001,60.678737600000005,4539.0,4541.0,15910.0,38665.168,116.24195900000001,M7459,14.0,14.0,0.0,0.0539183579,0.206841096,0.0020982280800000003,0.759988308
1566,True,36.47995,29.7801495,4447.0,4464.0,15624.0,4115.09473,20.3365421,M7535,14.0,14.0,0.0,38.010051700000005,-3.54924488,7.3454814,0.68813622
13,False,29.206144300000002,35.6882324,4460.0,4459.0,11593.0,21551.5039,60.9060745,M7535,14.0,14.0,-1.0,0.043308354900000005,-0.059627570199999994,-0.14866027199999998,0.19347988100000002
1638,True,48.0375061,52.9839249,4537.0,4549.0,15930.0,4883.384279999999,26.235637699999998,M7584,14.0,14.0,0.0,21.3341389,13.7002497,-35.718238799999995,0.2929869
1598,True,22.438570000000002,12.0408859,4543.0,4544.0,15936.0,52.0419922,0.887897015,M7584,14.0,14.0,10.0,-18.8237305,-46.248054499999995,0.7547156209999999,0.00100000005
467,False,44.620018,39.570373499999995,4552.0,4551.0,15945.0,7715.949709999999,33.4929657,M7584,14.0,14.0,0.0,-0.306373805,0.112006903,-0.157770365,0.172083557
7,False,13.021185899999999,43.9722176,4888,4887,12628,43345.457,92.9345322,M7619,14,14,-1,-0.22255294,0.09251861269999999,-0.245535687,0.608463347
889,False,41.177211799999995,37.07652279999999,4881,4857,17101,13734.7979,48.0090446,M7619,14,14,0,-0.399805695,0.13981217099999999,0.34593644700000004,0.790076077
